first_name,last_name,phone_number,birthdate
Stephanie,Kelly,386.367.7099,1925-04-16
Eric,Cooper,499-288-6705x53467,2011-09-17
Victoria,Carpenter,974-250-5028x70769,1937-12-07
Scott,Clark,001-491-930-1610x99434,1957-09-25
Michael,Stewart,001-313-651-0752,1972-08-09
Tara,Garza,756.327.9501x64345,2021-11-14
David,Davis,509.343.8097,1915-09-21
Jesse,Lee,510.572.0922,1957-04-08
Dawn,Bryant,+1-266-845-7001x15654,1965-11-09
Michael,Mccormick,216.417.5271,1973-03-08
David,Lewis,+1-387-788-0436,1933-03-16
Brian,Graham,(225)379-9649x9782,1959-10-05
Timothy,Thompson,001-666-200-2501,1980-08-01
Dave,Williams,762-595-3656x4268,1918-07-10
Joshua,Conner,868-668-3433,1984-04-05
Rachel,Jefferson,(220)361-7544,1970-03-25
Laura,Mueller,(948)424-3194x3448,2014-11-19
Alexander,Williams,970.914.4745x7972,1943-11-16
Jeffrey,Howard,4607763689,2002-07-25
Justin,James,(424)611-8292x6657,1923-08-29
Rachel,Powell,412.214.7330x842,1971-08-06
Amber,Weeks,288.401.0534x989,1981-08-08
John,Conner,718-692-0852,1974-01-05
Ryan,Rasmussen,+1-578-750-4810x9924,1922-12-18
Brian,Herrera,9883466710,1968-04-24
